"1635649","/media/MOCHI/Anime"
"346989","/media/ECLAIR/Anime"
"1982638","Anime Total"
"1791523","/media/DANISH/Media/TV\ Shows"
"1791523","TV Shows Total"
"1647941","/media/ECLAIR/Movies"
"1647941","Movies Total"
"122776","/media/DANISH/Media/Special\ Libraries"
"122776","Specials Total"
"726","/home/clara"
"70060","/media/MOUSSE/home"
"70786","Users Total"
"9301","/var/lib/plexmediaserver"
"9301","Plex Database Total"
"56837","/media/DANISH/Media/Music"
"56837","Music Total"
"487412","/media/GRANOLA/Backups-Muffin/"
"487412","Backups Total"
"6854699","/media "
"2074434","/media/DANISH "
"2190946","/media/ECLAIR "
"883612","/media/GRANOLA "
"1635650","/media/MOCHI "
"70060","/media/MOUSSE "
